Player,Team,Position,Price,PricedAt,Breakeven,LastSeason,Owned
Natalie Plane,Carlton,Forward,"$58,800",35,35,35,0.3
Dakota Davidson,Brisbane Lions,Forward,"$58,500",35,35,35,0.5
Hannah Dunn,Port Adelaide,Midfielder,"$58,400",35,35,35,0.9
Hannah Burchell,Richmond,Forward,"$58,400",35,35,20,0.1
Ashleigh Brazill,Collingwood,Defender,"$58,000",34,34,0,10.9
Alice Edmonds,Western Bulldogs,Ruck,"$57,900",34,34,34,0.3
Jasmine Grierson,GWS Giants,Defender,"$57,800",34,34,32,0.2
Kara Antonio,Fremantle,Forward,"$57,700",34,34,34,0.6
Elizabeth Keaney,Gold Coast Suns,Defender,"$57,700",34,34,34,0.3
Madeline Keryk,Geelong Cats,Defender,"$57,300",34,34,34,0.1
Ally Morphett,Sydney,Ruck,"$57,300",34,34,34,1.5
Pepa Randall,GWS Giants,Defender,"$57,100",34,34,34,0.6
Jasmyn Hewett,Adelaide Crows,Ruck,"$56,900",34,34,41,0.3
Jasmine Ferguson,Kangaroos,Defender,"$56,900",34,34,34,0.3
Ella Friend,St Kilda,Defender,"$56,800",34,34,34,0.6
Katherine Smith,GWS Giants,Defender,"$56,400",33,33,33,0.4
Jade Pregelj,Gold Coast Suns,Defender,"$56,400",33,33,24,0
Rebecca Privitelli,Sydney,Forward,"$56,000",33,33,33,0.3
Britney Gutknecht,Western Bulldogs,Midfielder,"$56,000",33,33,33,0.1
Charlotte Wilson,Melbourne,Defender,"$55,800",33,33,19,0.2
Abbie Ballard,Adelaide Crows,Forward,"$55,600",33,33,35,0.7
Lisa Steane,Sydney,Midfielder,"$55,400",33,33,33,0.3
Zali Friswell,Geelong Cats,Forward,"$55,300",33,33,33,0.3
Sarah Lakay,West Coast Eagles,Ruck,"$55,200",33,33,33,1.1
Najwa Allen,Adelaide Crows,Defender,"$55,100",33,33,33,1.1
Elizabeth Snell,Western Bulldogs,Forward,"$54,700",32,32,32,0.2
